ID-ES,TERM-ES,,ID,TERM,Qualifier,,FINAL DEFINITION,BIBLIOGRAPHY,SYNONYMS,Observations,"OTRAS OBSERV
"
213,Fibra natural,,213,Natural Fibre,,,"Any fibre obtained from animal or vegetable, or mineral. The major natural fibres are cotton, flax, silk and wool.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015",,,
35,Fibra artificial,,35,Manufactured Fibre,,,"Any fibre that has gone through a process of manufacture from any substance which is not a fibre. A manufactured fibre could be a regenerated fibre, synthetic fibre or inorganic fibre.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015",,,
214,Fibra vegetal ,,214,Vegetable Fibre,,,Any fibre from any plant. There are lots of plants that are a source of vegetable fibres.,"Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015",,,
24,Fibroína,,24,Fibroin,,,"n. Used as a combined form of fibre, and a suffix ""in"". It is a chemical substance, one of the two basic constituents of raw silk. It represents about the 75% of the weight, due to the other part, the gum sericin is lost after the boiling process. Fibroin is, therefore, the actual fibre.",,,,
216,Filadiz,,216,Floss,thread,,"n. Probably an adoption of some form of Old French ""flosche"". It refers to the fine short silk fibres or filaments or waste that could not be reeled. ","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015. Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",filatrice,,
217,Fleco,,217,Fringe,,,"n. From the Middle English ""frenge"" and the Old French ""frenge"". It determines an ornamental bordering, that is, pendant cords, either loose threads or formed into tassels, twists, etc.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989; [www.oed.com]; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015","picot, purl, fringing",,
218,Flocadura,,218,Fringe Trimming,,,"n. From the Middle English ""frenge"" and the Old French ""frenge"". It determines an ornamental bordering, that is, a set of trimming of pendant cords, either loose threads or formed into tassels, twists, etc.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989; [www.oed.com] Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015",,,
220,Florentina,,220,Florentine,,,"n. From the Latin ""Flōrentīnus"" of or pertaining to ""Flōrentia"" Florence. It is a textile fabric, mainly of silk, used for wearing apparel. Originally produced in Florence (Italy), from the 18th century also produced in Lyon, France. It is a lightweight taffeta, usually white, with a single warp and single filling or weft. ","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989; [www.oed.com];  Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015",taffeta de Florence,,
221,Fondo,,221,Ground weave,,,"The surface weave that is taken as a basis to the warp and weft floats. It serves as a foundation for pattern, texture or pile.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989; [www.oed.com] Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980",,,
223,Fondo,,223,Ground,,,"n. A term from the Old English ""grund"", the Middle English ""grond"" ""gronnde"" ""grounde"" ""grownd"". It refers to the plain base (or background or field) of the pattern, that is, the underlying part in a composite or decorated textile fabric. It is the cloth used as a basis for embroidery or decoration.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980; Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]; Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015",,,
224,Frisado,,224,Pilling,,,A term applied to a textile in which small tangles of fibres are formed. ,"Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com] Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015.","bobble, fuzzball, lint ball",,
226,Frisar,,226,Pill,,,v. Formed within English. The action of cover with small balls of fluff on the surface of the cloth through wear or rubbing.,"Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989; [www.oed.com] Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015",,,
228,Gabardina de seda,,228,Silk gaberdine,,,"n. Term borrowed from the Middle French ""gavardine"". It consists of a tightly woven twill fabric, warp-faced. It is made with a 45 or 65 degree angle twill and given a clear finish. it main use is for men and women's wear.","Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015.",,,
230,Galón,,230,Braid,,,"n. From the Old English ""brægd"" ""brǽd"" and the Middle English ""breid"" ""braid"". It is a narrow flat, round or tubular band fabric made with threads of silk, wool, cotton, gold or silver. It is used for trimming or binding articles of dress. ","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989; [www.oed.com]; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015","galon, galloon",,
222,Gasa,,222,Gauze,attribute,,Any thin and transparent fabri with gauze appearance.,"Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com] ",gauze-like,,
232,Gasa,,232,Gauze,fabric,,"n. From the French ""gaze"" and the Scottish ""gais"" ""gadza"", later in English ""gawse"" ""gause"" ""gauze"". That denomination is derived from the city of Gaza in the Palestinian Gaza Strip. It refers to a thin, transparent fabric of silk, linen or cotton. The areas of corssed warps result in a small and visible openings in the cloth. ","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989; [www.oed.com];  Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015. Phipps, Elena. Looking at Textiles. A guide to technical terms. Los Angeles: Getty Publications, 2011",,,
234,Gasa de vuelta,,234,Gauze,,,"n. From the French ""gaze"" and the Scottish ""gais"" ""gadza"", later in English ""gawse"" ""gause"" ""gauze"". A textile in which the binding is achieved by the displacement of warp ends. The doup ends (warp ends) are made to cross over other warp ends called fixed ends. Usually, the fabric with gauze binding is open.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
240,Gayadura,,240,Stripped Trimming,,,A trimming fabric with a braid.,,,,
242,Glasé,,242,Glacé,,,"n. A lightweight silk fabric with a luster or mohair effect, having the sheen of a glacier ice, in a tabby (plain weave).","The American Silk Journal. A Dictionary of Silk Terms. New York: Clifford & Lawton, 1915; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014",,,
,,,,,,,,,,,
244,Gofrado,,244,Gauffered,,,"adj. From the French ""gaufrer"". It describes a textile with a pattern stamped, embossed by means of heated goffering-irons.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980; Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com] Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015",gaufré,,
,,,,,,,,,,,
231,Gorgorán,,231,Grogram,,,"n. From the French ""gros grain"". It refers to a coarse silk or wool and mohair fabric, or of these mixed with silk. Often ribbed, stiffened with gum.  ","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989;[www.oed.com] Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015",,Gourgouran/Grogueram,
,,,,,,,,,,,
225,Granadina,,225,Grenadine,thread,,"n. From the French ""grenadine"" and from the name of the Spanish city Granada. A type of silk yarn which is made by doubling two or more ends of poil with the twist opposite to that poil ends' direction. It is a yarn tightly twisted.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015; Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.

 
",,,
249,Hilo granadina,,249,Grenadine,fabric,,"n. From the French ""grenadine"" and from the name of the Spanish city Granada. It defines an open dress silk fabric, loosely woven, made of hard twist yarns in a leno weave.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford: Clarendon Press; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015",,,
251,Granza,,251,Madder,,,"n. A term inherited from Germanic, with precedents as ""matara"" ""maure"" ""modre"" ""madaras"" ""miede"". A reddish-purple colour, got from the root of the plant ""Rubia tinctorum"". ","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",crimson madder,,
252,Grisalla,,252,Grisaille,,,"n. From the French ""grisaille"". It is a French dress fabric with a black and white colours, that seem grey. It is made from a black and white printed warp and coarse worsted filling. ","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford: Clarendon Press; Oxford New York : Oxford University Press, 1989. [www.oed.com]; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015",,,
253,Griseta,,253,Grisette,,,"n. From the French ""grisette"" meaning grey. Originally, a dress fabric, from France, grey-coloured, made from diverse fibres as silk, cotton, hair, wool. Lately, it was produced in different colours.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford: Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015",,,
254,Gro,,254,Gros,,,"n. From the French, and it means big, large, bulky, thick, coarse. By the term gros it is known a kind of precise cannelé with two picks in each shed. It describes a variety of cross-ribbed fabrics. Normally it is a term applied to thick and heavy fabrics. They usually get the name from the place they are from. ","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com];  Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015.","extended tabby, cannelé",,
257,Gro de Londres,,257,Gros de londres,,,"n. A type of gros. A dress fabric of lightweight silk or rayon with alternating narrow and wider flat filling ribs. Made in tabby, generally, and it can be dyed.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015.",,,
258,Gro de Nápoles,,258,Gros de naples,,,"n. A type of gros. A plain weave silk fabric, from Italy. It is made with organzine or ply warp and heavier two-ply filling. The result is a meaningful grain. ","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015.",,,
259,Gro de Tours,,259,gros de tours,,,"n. By the name of ""Gros de Tours"" it is known a kind of precise cannelé with two picks in each shed.  ","CIETA. Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
260,Gro de verano,,260,Gros d'été,,,"n. A type of gros. It refers to a silk fabric, cross-ribbed, made with two sets of warp.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015.",,,
27,Haz,,27,Face,,,"n. From both of the sides of a textile, fabric or weave, the right side.","CIETA. Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980",,,
30,Haz trama ,,30,Weft face,,,"The face, that is, the side, of the textile where the weft predominates.","CIETA. Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980",,,
33,Haz urdimbre,,33,Warp face,,,"The face, that is, the side, of the textile where the warp predominates.","CIETA. Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980",,,
227,Hiladillo,,227,Hiladillo,yarn,,n. A term in Spanish which refers to the thread that is obtained from the tangle of spinning silk in spinning wheel.,,,,
266,Hiladillo,,266,Hiladillo,object,,n. A term in Spanish that refers to a narrow silk ribbon in plain weave and floss warp and weft.,,,,
262,Hilatura ,,262,Filature,,,"n. From the French ""filature"" and the Latin ""fīlātūra"" ""fīlāre"". It is the place, the factory or the establishment for reeling silk.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980;  Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford: Clarendon Press; Oxford; New York: Oxford University Press, 1989. [www.oed.com]",,,
267,Hilatura ,,267,Spinning ,,,"n. From the verb ""spin"", a word inherited from Germanic ""spinnan"" ""spinna"" ""spine"" ""spinnen"". The action or process of converting the fibres into thread or yarn, that is, the process of making yarn or thread from staple fibre. This process could be done by hand-labour or with machinery.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015.",,,
268,Hilo,,268,Thread,,,"n. A component of a silk yarn, it is the product of winding together without twist a number of filaments or fibres.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980",,,
270,Hilo briscado,,270,Briscado thread,,,n. A term in Spanish that refers to twisted gold or silver thread.,"Roberts A., Edward. A Comprehensive Etymological Dictionary of the Spanish Language with Families of Words Based on Indo-European Roots. Bloomington: Xlibris, 2014.",,,
271,Hilo canutillo,,271,Canutillo thread,,,"n. It refers, in Spanish, to a type of thin metal thread rolled up making a spiral.",,,,
272,Hilo céfiro,,272,Zephyr,,,"n. A term borrowed from the Latin ""Zephyrus"". It designates a yarn which is especially fine or lightweight.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford: Clarendon Press; Oxford ; New York: Oxford University Press, 1989. [www.oed.com]",,,
255,Hilo chiné,,255,Chiné,yarn,,"n. From the French ""chiner"" that comes from ""Chine"", meaning China. It refers to a thread printed or dyed in diverse colours.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964; Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
273,Hilo continuo,,273,Continuous yarn,,,It refers to a continuous yarn or thread consistent in one or more brins with or without twist.,,continuous filament,,
274,Hilo crespón,,274,Crepe,yarn,,"n. From the French ""crêpe"" and Latin ""crispa"". It determines any overtwisted thread either single or plied.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980. Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford: Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
275,Hilo crudo,,275,Undyed thread,,,Any thread or yarn that has not gone through any dyeing process.,"Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980",,,
276,Hilo de organzí,,276,Organzine,,,"n. It is, probably, a borrowing from the French ""organsin"". It is a type of strong thick yarn, made of single two or more threads twisted together, and the, twisted again but in the opposite direction of the twist of the individual poil yarns.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980; Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
277,Hilo de seda,,277,Silk yarn,,,A yarn or thread made of silk fibres or filaments.,"CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015;  Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
278,Hilo de trama,,278,Pick,yarn,,n. A term formed within English by conversion. It refers to the weft threads so carried. It is also called the filling yarn.,"CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980;  Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]","weft thread, filling yarn",,
279,Hilo de urdimbre,,279,End,,,"n. A term inherited from Germanic. From the Old English ""ende"" and Middle English ""aend"" ""aende"" ""eende"". It is the individual warp thread.","CIETA. Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980. Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",warp thread,,
280,Hilo de vuelta,,280,Doup end,,,"In a leno weave (doup weave), it is the end in gauze weaves that crosses to the right and to the left of one or more fixed ends.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015","doup thread, whip end",,
184,Hilo entorchado ,,184,Filé,,,"n. From the Latin ""filum"" and the French ""fil"" ""file"". It refers to a type of thread, composed of a lamella wound around a core of a different material.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980",spiral thread,,
235,Hilo fantasia ,,235,Fantasy yarn,,,A general term to refer to different threads used for decorative purposes.,"CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Miller, Leslie. Selling Silks. A Merchant´s Sample Book 1764. London: V & A Publishing, 2014; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980",,,
233,Hilo granito,,233,Frisé,,,"n. A term borrowed from the French. It refers to a type of crinkled thread, which is composed of a lamella wound on a core of a spiral thread.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Miller, Leslie. Selling Silks. A Merchant´s Sample Book 1764. London: V & A Publishing, 2014.; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980",frost,,
283,Hilo ondeado,,283,Spiral thread,,,"A filé thread, but composed of a thick thread twisted in a spiral around a fine one, with an ondulated result.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980",,,
,,,,,,,,,,,
285,Laminilla metálica,,285,Lamella,,,"n. From the Latin ""lāmella"".  A thin plate, scale, layer, or film, esp. of bone or tissue; e.g. one of the thin scales or plates which compose some shells, one of the gills forming the hymenium of a mushroom, one of the erect scales appended to the corollas of some flowers.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press; Oxford: New York  Oxford University Press, 1989.[www.oed.com]; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980",,,
287,Ikat,,287,Ikat,,,"n. From Malay, meaning to tie, to fasten. As a technique or process, it is common in Indonesia and Malaysia. A pattern is resist-dyed on the warp or on the weft, or both but before weaving. A fabric that has been made with this process is also known as ikat.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980; Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
289,Imperial,,289,Imperial,,,"adj. It refers to dyes, when they get a darker shade. For example, Imperial blue, Imperial purple.",,,«Art & Architecture Thesaurus (Getty Research Institute)». Accedido 20 de noviembre de 2018. http://www.getty.edu/research/tools/vocabularies/aat/.,
290,Isabela,,290,Isabella,,,"n. From the French ""Isabelle"", the female name Isabella. It refers to the greyish yellow colour, similar to buff. It can be used as a noun and adjective.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com].",,,
215,Jacquard,,215,Jacquard weave,,,It defines and describes the figured fabrics woven on the Jacquard loom.,"Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015.",,,
293,Jamete,,293,Samite,,,"n. A historial term from the Middle English ""samit"" ""samet"" ""samyt"" ""samyte"" among others. It refers to a rich silk fabric, worn in the Middle Ages. It was, sometimes, interwoven with gold thread. ","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980; Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",weft-faced compund twill,,
294,Jaspeado,,294,Marbled,,,"adj. Formed within English. From the previous forms as ""marbel'd"". Imitation or resemblance of marble. An effect in fabrics woven with various coloured fillings in a mottled marble effect.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com];  Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015.",,,
296,Joyante,,296,Glossy,,,"adj. Formed by Gloss and a suffix. It means to have a gloss, smooth and shining appearance.","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford: Clarendon Press; Oxford; New York: Oxford University Press, 1989. [www.oed.com]",,,
298,Jusi,,298,Jusi,,,"n. From the Spanish ""jusi"" and the Tagalog ""husi"". It refers to a delicate fibrous dress fabric, woven in the Philippine Islands. It is made with hemp warp and pineapple fibre filling or pineapple fibre warp and silk, cotton or fine abaca after filling. ","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford: Clarendon Press; Oxford ; New York: Oxford University Press, 1989. [www.oed.com]",piña cloth,,
301,Labrado,,301,Figured weave,,,"adj. From the term ""figure"" plus a suffix. It refers to a fabric adorned or ornamented with patterns or designs, that is, weaves in which one or more warps are controlled by a figure harness.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980; Simpson, John; Weiner, Edmund (eds); The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York: Oxford University Press, 1989. [www.oed.com]",,,
302,Lama ,,302,Lamé,,,"n. From the French ""Lamé"", meaning trimmed with levaes of gold and silver. It is still in current use. A material consisting of silk or other yarns interwoven with flat metallic threads, which form either the ground or the pattern. ","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015; Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
304,Laminilla de piel,,304,Gilt membrane strip,,,"It is a narrow strip of gilt, leather (possibly) or silvered (rarely) membrane used as a lamella, either flat or wound around a core.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980",,,
305,Lampás,,305,Lampas,,,"n. The term ""lampas"" overlaps the definitions of other weaves, depending on the pattern. But, generally the term is used for a figured compound weave, to produce luxurious figured silks, in which a pattern, composed of weft floats bound by a binding warp, is added to a ground weave formed by a main warp and a main weft. It is understood also as a combination of two structures formed from plain weave, twill and/or satin bindings. Lampas juxtaposes two faces created with these structures. It has been developed in Syria and Iraq and notably in Spain. ","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980. Stevenson, Angus, ed. Oxford Dictionary of English. 3rd ed. Oxford University Press, 2010. Phipps, Elena. Looking at Textiles. A guide to technical terms. Los Angeles: Getty Publications, 2011.",diasper,,
,,,,,,,,,,,
307,Lampás talla dulce,,307,Lampas taille-douce,,,"A 19th century textile. Besides the main and the binding warp, it employs a supplementary warp, named chaîne poil or chaîne taille-douce, the interlacings of which modify the colour of the weft floats.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980",,,
309,Lampasete,,309,Lampassette,,,"A type of damask, or a modified lampas made with a twill ground and brocaded filling figures. It employs a single colour cotton warp and several colours of silk filling. That is, one or more weft threads, working together, form the ground and pattern motifs. Those motifs are formed by floats bound in weave in which the ends interlace in groups of two or three.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980;  Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015",,,
311,Lanzadera,,311,Shuttle,,,"n. From the Old English ""scytel"" ""sciutil"" ""scytel"" and the Middle English ""shittle"" ""shotil"" ""shetil"" ""schytle"" among others. It is the instrument or tool or device by which the weft is passed through the shed opening in the warp in the weaving process. It comes in different shapes, as a boat, carpet, fly shuttle, among others.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980",,,
310,Lanzado,,310,Figuring with extra weft,,,"It describes a textile when it uses several wefts, whether they are supplementary or combined with the ground texture of the fabric. It refers to a fabric with a satin or twill ground, has drawing effects produced by supplementary wefts to the fabric of various colors and that only produce their effects on the upper face thereof in the form of coarse.",,,,
,,,,,,,,,,,
313,Lazo,,313,Lash,,,"Any of the loops of cords attached to the tail cords of a drawloom that enable the drawboy to select and pull the cords controlling the warp ends that must be raised. By means of the lashes, the successive groups of warp ends are selected.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980",,,
317,Ligadura,,317,Binding system,,,It defines the system in accordance with which ends and picks are bound. ,"CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",point of binding,,
314,Ligamento por trama,,314,Weft-Faced Weave,,,"A term that defines the weave or textile in which the weft predominates on one or on both sides. This term could be used to qualify or specify the basic binding systems as weft-faced tabby, weft-faced twill or weft-faced satin.","CIETA. Vocabulary of technical terms of fabrics (English, French, Italian, Spanish). Lyon: Centre  International d’Etude des Textiles Anciens, 1964;  Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",,,
