ID-ES,TERM-ES,INITIAL DEFINITION,QUALIFIER,FINAL DEFINITION,BiBLIOGRAPHY,SYNONYMS,ASSOCIATED TERMS,FACET,HIERARCHY (PARENT),skos:exactMatch,skos:closeMatch,"
",A MEJORAR EN LA GETTY,,,,,,,,,,
177,Efecto de perdido de urdimbre,"Decoración de un tejido a modo de bastas, realizada por una o varias urdimbres suplementarias que quedan por el revés a modo de bastas, en el intervalo donde no trabajan en el derecho haciendo la decoración.

Decoración de un tejido a modo de bastas, realizado de una o más urdimbres de efecto. Cuando no es necesario para el dibujo, la urdimbre de efecto queda por el revés a modo de bastalotando en el reverso",,"Decoración de un tejido a modo de bastas, realizada por una o varias urdimbres suplementarias que quedan por el revés a modo de bastas, en el intervalo donde no trabajan en el derecho haciendo la decoración.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980; CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. 
Lyon: Centre  International d’Etude des Textiles Anciens, 1963;",,430,http://vocab.getty.edu/aat/300191790,175,,,,,,,,,,,,,,"177--Efecto de perdido de urdimbre--Decoración de un tejido a modo de bastas, realizada por una o varias urdimbres suplementarias que quedan por el revés a modo de bastas, en el intervalo donde no trabajan en el derecho haciendo la decoración.

Decoración de un tejido a modo de bastas, realizado de una o más urdimbres de efecto. Cuando no es necesario para el dibujo, la urdimbre de efecto queda por el revés a modo de bastalotando en el reverso"
178,Efecto de perdido por trama ,"Decoración efectuada por una o varias tramas suplementarias que van de un orillo a otro del tejido, realizando únicamente efectos decorativos no interviniendo en la base de la tela.

Decoración de un tejido efectuado por una  trama flotante o  por la trama principal o por parte de uno de los hilos principales de la trama.   

",,"Efecto de dibujo producido por una trama que pasa por toda la anchura de la tela pero no participa en los efectos de base. Las tramas de perdido no aparecen en el derecho de la tela sino en los efectos del dibujo por ellas producido. Normalmente intervienen en los cruzamientos con puntos de ligadura formados por la urdimbre de base, por la de ligadura o la de fondo.",,"310,470",470,http://vocab.getty.edu/aat/300191790,175,,,,,,,,,,,,,,"178--Efecto de perdido por trama --Decoración efectuada por una o varias tramas suplementarias que van de un orillo a otro del tejido, realizando únicamente efectos decorativos no interviniendo en la base de la tela.

Decoración de un tejido efectuado por una  trama flotante o  por la trama principal o por parte de uno de los hilos principales de la trama.   

"
,,,,,,,,,,,,,,,,,,,,,,,----
180,Encaje ,"Tejido ornamental bastante transparente, no realizado en el telar, formado por hilos normalmente muy finos de seda, lino, algodón, hilos metálicos, etc. que se entrecruzan, se tuercen o se anudan entre ellos para conseguir motivos decorativos que están construidos por contraste entre zonas tupidas y zonas caladas. Se llama encaje porque originariamente, se realizaba entre los bordes de dos tiras paralealas de tela, como si de un trabajo encajado entre ellas se tratara. También puede denominarse puntillas o puntas. Veáse, ""puntas"". ",,"De en- y caja. Tejido ornamental bastante transparente, no realizado en el telar, formado por hilos normalmente muy finos de seda, lino, algodón, hilos metálicos, etc., que se entrecruzan, se tuercen o se anudan entre ellos para conseguir motivos decorativos que están construidos por contraste entre zonas tupidas y zonas caladas. El punto es un motivo regular cuya repetición constituye el tejido. Se llama encaje porque originariamente, se realizaba entre los bordes de dos tiras paralealas de tela, como si de un trabajo encajado entre ellas se tratara.","«Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/; Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; Benito, Pilar. Paraísos de seda. Tejidos y bordados de las casas del Príncipe en los Reales Sitios de El Pardo y El Escorial. València: Universitat de València, 2015.",,"73, 364, 74, 80, 82, 546",http://vocab.getty.edu/aat/300264092,http://vocab.getty.edu/aat/300191091,,http://vocab.getty.edu/aat/300053651,,,,,,,,,,,,"Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; 
«Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/."
181,Encaje de aguja ,"Aquel realizado con un único hilo continuo que se va entrecruzando, torciendo y anudando consigo mismo, por medio de una aguja. Resulta si cabe aún más complejo que el encaje de bolillos pues el trabajo
 se realiza al aire o sirviéndose únicamente de algún tipo de bastidor.  En primer lugar se va trazando con el hilo un esquema o patrón que sirve de base y que forma el motivo decorativo que se desea realizar; 
esta base se va cubriendo paulatinamente cruzando, torciendo y anudando el mismo hilo formando sucesivos tachones a modo de presillas o festones, configurando así el tejido de encaje. En la mayoría de casos
 los encajes de aguja se componen de varios motivos, muchos de ellos de carácter geométrico, tejidos de una vez que posteriormente se une a otros para crear una sola pieza, mediante otros puntos específicos.",,"Aquel realizado con un único hilo continuo que se va entrecruzando, torciendo y anudando consigo mismo, por medio de una aguja. Resulta si cabe aún más complejo que el encaje de bolillos pues el trabajo se realiza al aire o sirviéndose únicamente de algún tipo de bastidor. En primer lugar, se va trazando con el hilo un esquema o patrón que sirve de base y que forma el motivo decorativo que se desea realizar; esta base se va cubriendo paulatinamente cruzando, torciendo y anudando el mismo hilo formando sucesivos tachones a modo de presillas o festones, configurando así el tejido de encaje. En la mayoría de casos, los encajes de aguja se componen de varios motivos, muchos de ellos de carácter geométrico, tejidos de una vez, que posteriormente se unen a otros para crear una sola pieza, mediante otros puntos específico.s","Bandrés Oto, Maribel. El vestido y la moda. Larousse, 1998; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; Gürtler, Max, and W. Kind. La Industria Textil. Barcelona: Editorial Labor, S.A., 1930.",,,http://vocab.getty.edu/aat/300264092,180,,,,,,,,,,,,,,"181--Encaje de aguja --Aquel realizado con un único hilo continuo que se va entrecruzando, torciendo y anudando consigo mismo, por medio de una aguja. Resulta si cabe aún más complejo que el encaje de bolillos pues el trabajo
 se realiza al aire o sirviéndose únicamente de algún tipo de bastidor.  En primer lugar se va trazando con el hilo un esquema o patrón que sirve de base y que forma el motivo decorativo que se desea realizar; 
esta base se va cubriendo paulatinamente cruzando, torciendo y anudando el mismo hilo formando sucesivos tachones a modo de presillas o festones, configurando así el tejido de encaje. En la mayoría de casos
 los encajes de aguja se componen de varios motivos, muchos de ellos de carácter geométrico, tejidos de una vez que posteriormente se une a otros para crear una sola pieza, mediante otros puntos específicos."
,,,,,,,,,,,,,,,,,,,,,,,----
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,----
423,Envés,Del lat. inversum. Lado de la tela opuesto al derecho,,"Del lat. inversum. Cara posterior de la tela, lado opuesto al derecho.","CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963; Casa Aruta, Francisco. Diccionario de la industria textil. Barcelona: Labor, 1969;  Casa Aruta, Francisco. Diccionario de la industria textil. Barcelona: Labor, 1969
",reverso,,http://vocab.getty.edu/aat/300264087,643,,,,,,,,,,,,,,423--Envés--Del lat. inversum. Lado de la tela opuesto al derecho
424,Escalonado,"Del part. de escalonar. Sucesión de cruces en un ligamento según un ritmo determinado. El ritmo de escalonado se expresa por el número de hilos que se traspasan entre el cruce de una pasada y el de otra. Por ejemplo: en la sarga el escalonado es de uno, ya que se deja un solo hilo en cada pasada de la trama; en los satenes, el mínimo es de dos hilos",,"Del part. de escalonar. Sucesión de cruces en un ligamento según un ritmo determinado. El ritmo de escalonado se expresa por el número de hilos que se traspasan entre el cruce de una pasada y el de otra. Por ejemplo: en la sarga el escalonado es de uno, ya que se deja un solo hilo en cada pasada de la trama; en los satenes, el mínimo es de dos hilos.","CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963; Casa Aruta, Francisco. Diccionario de la industria textil. Barcelona: Labor, 1969; Blanxart y Pedrals, Daniel. La Industria Textil. Barcelona: Imp. A. Ortega, 1946.",,493,http://vocab.getty.edu/aat/300264090,318,,,,,,,,,,,,,,"424--Escalonado--Del part. de escalonar. Sucesión de cruces en un ligamento según un ritmo determinado. El ritmo de escalonado se expresa por el número de hilos que se traspasan entre el cruce de una pasada y el de otra. Por ejemplo: en la sarga el escalonado es de uno, ya que se deja un solo hilo en cada pasada de la trama; en los satenes, el mínimo es de dos hilos"
185,Escarzo ,De escarzar. Borra o pelusa de la seda.,,De escarzar. Borra o pelusa de la seda.,"Benito, Pilar. Paraísos de seda. Tejidos y bordados de las casas del Príncipe en los Reales Sitios de El Pardo y El Escorial. València: Universitat de València, 2015;  Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/",,90,http://vocab.getty.edu/aat/300264091,368,,,,,,,,,,,,,,185--Escarzo --De escarzar. Borra o pelusa de la seda.
,,,,,,,,,,,,,,,,,,,,,,,----
,,,,,,,,,,,,,,,,,,,,,,,
188,Esparragón ,Tejido de seda que forma un cordoncillo más doble y fuerte que el de la tercianela,,Tejido de seda que forma un cordoncillo doble y más fuerte que el de la tercianela.,"Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004;  «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/",,610,http://vocab.getty.edu/aat/300264090,827,,,,,,,,,,,,,,188--Esparragón --Tejido de seda que forma un cordoncillo más doble y fuerte que el de la tercianela
189,Espiguilla,Tejido en el que urdimbres y tramas ligan en sarga dirección s y dirección z de tal forma que se producen líneas en forma de zigzag,,"Del dim. de espiga. Tejido en el que urdimbres y tramas ligan en sarga dirección s y dirección z de tal forma que se producen líneas en forma de zigzag. La espiguilla se produce en sentido de la urdimbre o en sentido de la trama, según la dirección que lleven.","Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963;  Casa Aruta, Francisco. Diccionario de la industria textil. Barcelona: Labor, 1969",,496,"http://vocab.getty.edu/aat/300264090, http://data.silknow.org/vocabulary/facet/twill",238,,http://vocab.getty.edu/aat/300227802,,,,,,,,,,,,189--Espiguilla--Tejido en el que urdimbres y tramas ligan en sarga dirección s y dirección z de tal forma que se producen líneas en forma de zigzag
190,EspolÍn ,"Pequeña lanzadera usada para pasar tramas de decoración entre los hilos de urdimbre. Por extensión, en el Reino de Valencia, tejido espolinado.",objeto,"Del occit. espoulin 'canilla de tejedor', y este del gót. *spôla; cf. a. al. ant. spuolo, islandés spôla. Pequeña lanzadera usada para pasar tramas de decoración entre los hilos de urdimbre.","Benito, Pilar. Paraísos de seda. Tejidos y bordados de las casas del Príncipe en los Reales Sitios de El Pardo y El Escorial. València: Universitat de València, 2015;Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004;«Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/); CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963",,"97, 471, 311",http://vocab.getty.edu/aat/300264092,"http://vocab.getty.edu/aat/300247544
 ",,,,,,,,,,,,,,"190--EspolÍn --Pequeña lanzadera usada para pasar tramas de decoración entre los hilos de urdimbre. Por extensión, en el Reino de Valencia, tejido espolinado."
191,Espolín ,Añadir fuentes y que está hecho en telar manual,tejido,"Del occit. espoulin 'canilla de tejedor', y este del gót. *spôla; cf. a. al. ant. spuolo, islandés spôla.  Tejido elaborado mediante la técnica de brochar o espolinar. Este término es muy empleado en determinadas zonas de España para referirse a los tejidos resultantes de esta técnica.","Pérez Sánchez, Manuel. El arte del bordado y del tejido en Murcia: siglos XVI-XIX. Murcia: Universidad de Murcia, Servicio de Publicaciones, 1999; Blanxart y Pedrals, Daniel. La Industria Textil. Barcelona: Imp. A. Ortega, 1946; Hollen, Norma, and Jane Saddler. Introducción a Los Textiles. México: Editorial Limusa, 2002.",,471,http://vocab.getty.edu/aat/300264090,827,,,,,,,,,,,,,,191--Espolín --Añadir fuentes y que está hecho en telar manual
192,"Brochado
","Tela de seda, que tomó su nombre de la lanzadera llamada espolín, fabricada sobretejidas, como las del brocado de oro o de seda",,Del fr. brocher 'bordar'. Adj. Que ha sido elaborado con efectos de espolines en sus motivos decorativos.,"Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; Casa Aruta, Francisco. Diccionario de la industria textil. Barcelona: Labor, 1969","espolinado 
",471 ,http://vocab.getty.edu/aat/300264087,512,,,,,,,,,,,,,,"192--Brochado
--Tela de seda, que tomó su nombre de la lanzadera llamada espolín, fabricada sobretejidas, como las del brocado de oro o de seda"
,,,,,,,,,,,,,,,,,,,,,,,----
194,Espumilla ,"Tejido de seda muy ligero y parecido a un crespón, con ligamento tafetán, generalmente liso, adamascado y bordado, que se utilizaba en forma de pañuelos, teñidos de todos los colores, de un consumo muy general para las señoras de todas las clases sociales",,Del dim. de espuma. Tejido liso de seda muy ligero y transparente con urdimbre y trama de seda cruda,"Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004.; «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949.",,,"http://vocab.getty.edu/aat/300264090, http://data.silknow.org/vocabulary/facet/tabby",236,,,,,,,,,,,,,,"194--Espumilla --Tejido de seda muy ligero y parecido a un crespón, con ligamento tafetán, generalmente liso, adamascado y bordado, que se utilizaba en forma de pañuelos, teñidos de todos los colores, de un consumo muy general para las señoras de todas las clases sociales"
195,Espumillón ,"Tela o tejido de seda gruesa, muy doble, semejante a la tercianela",,"De espumilla. Tela o tejido de seda gruesa, doble, semejante a la tercianela. Tejido tafetán o raso con una urdimbre de seda cruda y la trma ade crespón con torsión en S.","Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004.; «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949.",,610,http://vocab.getty.edu/aat/300264091,649,,,,,,,,,,,,,,"195--Espumillón --Tela o tejido de seda gruesa, muy doble, semejante a la tercianela"
196,Estampado ,Decoración de una tela por medio de la impresión del motivo decorativo deseado desde una o diversas planchas o matrices.,atributo,"Del part. de estampar. Adj. que se atribuye a la decoración de una tela por medio de la impresión del motivo decorativo deseado desde una o diversas planchas o matrices.
","«Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/; Castany Saládrigas, Francisco. Análisis de tejidos. Reconocimiento y análisis de fibras textiles, hilos y tejidos. Barcelona: Gustavo Gil S.A., 1944; Lewis, Ethel. La Novelesca Historia de Los Tejidos. Madrid: Aguilar, 1959.",,"197, 555, 65, 406, 143, 255, 330, 455, 546",http://vocab.getty.edu/aat/300264087,http://vocab.getty.edu/aat/300193855,,http://vocab.getty.edu/aat/300248891,,,,,,,,,,,,65
197,Estampado ,,tejido,Del part. de estampar. Tejido decorado con la técnica del estampado.,"«Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/;Lewis, Ethel. La Novelesca Historia de Los Tejidos. Madrid: Aguilar, 1959; Casa Aruta, Francisco. Diccionario de la industria textil. Barcelona: Labor, 1969; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949.",,196,"http://vocab.getty.edu/aat/300264090, http://data.silknow.org/vocabulary/facet/printed_fabric",827,,,,,,,,,,,,,,197--Estampado --
198,Estampar ,,,"Del fr. estamper, y este del franco *stampôn 'machacar'; cf. a. al. ant. stampfôn, al. stampfen. Procedimiento por el que se obtienen dibujos de varios colores sobre una superficie de tejido, partiendo de un diseño creado de antemano que se aplica mediante tintes, por diferentes procedimientos sobre la tela, mediante la presión de una matriz o molde adecuado.","CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963; Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/.",,,"http://vocab.getty.edu/aat/300264090, http://data.silknow.org/vocabulary/facet/printed_fabric",http://vocab.getty.edu/aat/300053003,,,,,,,,,,,,,,198--Estampar --
199,Estofar ,"Labrar a manera de bordado, rellenando con algodón o estopa el hueco o medio entre dos telas, formando encima algunas labores y pespunteándolas y perfilándolas para que sobresalgan y hagan relieve.",,"De estofa. Acción que describe la forma de trabajar un tejido de manera que simula una función de aguja sobre una tela acolchada. Se obtiene por medio de un doble tejido, y añadiendo una urdimbre adicional opuesta a la urdimbre de fondo en un tejido plano. También se añade una segunda trama. El tejido que resulta se llama estofado. Muy utilizado para cubres y colchas","Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/; Boy, Jaime. Diccionario teórico, práctico, histórico y geográfico de comercio Vol. II de la Junta de Comercio de Barcelona. Barcelona: Imprenta Valentín Torrás, 1840.",,,http://vocab.getty.edu/aat/300264090,670,,,,,,,,,,,,,,"199--Estofar --Labrar a manera de bordado, rellenando con algodón o estopa el hueco o medio entre dos telas, formando encima algunas labores y pespunteándolas y perfilándolas para que sobresalgan y hagan relieve."
,,,,,,,,,,,,,,,,,,,,,,,----
201,Faya ,"Tejido de seda reversible y sin decoración, cuya textura presenta pequeñísimas acanaladuras.",,"Del fr. faille. Tejido de seda reversible y sin decoración.  Con urdimbre de ligadura que trabaja en tafetán y una urdimbre de pelo que trabaja  en acanalado. Se crean unos canales de igual altura, por lo que produce un efecto rayado o de canutillo pequeño.","Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; Benito, Pilar. Paraísos de seda. Tejidos y bordados de las casas del Príncipe en los Reales Sitios de El Pardo y El Escorial. València: Universitat de València, 2015; «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/.","fay, alafaia, faya francesa",,http://vocab.getty.edu/aat/300264090,827,,,,,,,,,,,,,,"201--Faya --Tejido de seda reversible y sin decoración, cuya textura presenta pequeñísimas acanaladuras."
202,Felpa,Tejido aterciopelado que tiene pelo por el haz.,,"De or. inc.; cf. port. e it. felpa, occit. feupo. Tejido de seda, algodón, lana o cualquier otra fibra, semejante al terciopelo, que se fabricaba como éste, pero el pelo, en el haz, estaba ordinariamente comprimido hacia abajo para dar una impresión como de piel.","«Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/; Dávila Corona, Rosa, Duran i Pujol, Montserrat, y García Fernández, Máximo. Diccionario histórico de telas y tejidos castellano-catalán. Salamanca: Junta de Castilla y León, 2004; «Diccionario de Autoridades(1726-1739)». Accedido 20 de noviembre de 2018. http://web.frl.es/DA.html; Castany Saládrigas, F. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949.",felpudo,"439, 644, 15, 17",http://vocab.getty.edu/aat/300264090,827,,,,,,,,,,,,,,202--Felpa--Tejido aterciopelado que tiene pelo por el haz.
,,,,,,,,,,,,,,,,,,,,,,,----
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,----
206,Festón,"Del latín festum, fiesta. Adorno compuesto de flores, frutas y hojas. Los festones se obtienen por recorte o siluetado de la trama, en el borde del tejido, cuyo fondo se va deshilando progresivamente",,"Del it. festone. Adorno compuesto de flores, frutas y hojas. Los festones se obtienen por recorte o siluetado de la trama, en el borde del tejido, cuyo fondo se va deshilando progresivamente. También cualquier bordado, dibujo o recorte en forma de ondas o puntas, que adorna la orilla o borde de algo.","«Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/; «Diccionario de Autoridades(1726-1739)». Accedido 20 de noviembre de 2018. http://web.frl.es/DA.html; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949.",,230,http://vocab.getty.edu/aat/300264092,87,,,,,,,,,,,,,,"206--Festón--Del latín festum, fiesta. Adorno compuesto de flores, frutas y hojas. Los festones se obtienen por recorte o siluetado de la trama, en el borde del tejido, cuyo fondo se va deshilando progresivamente"
,,,,,,,,,,,,,,,,,,,,,,,----
209,Fibra ,"Cualquier material compuesto de filamentos susceptible de ser hilado para elaborar obras de carácter textil por medio de operaciones de tejeduría o fieltro. Las fibras o materias textiles son el elemento básico más característico de cualquier obra textil. Para su utilización, deben ser sometidas a un proceso de hilatura. Se dividen en fibras naturales, fibras artificiales y fibras sintéticas",,"Del lat. fibra. Cualquier material compuesto de filamentos susceptible de ser hilado para elaborar obras de carácter textil por medio de operaciones de tejeduría o fieltro. Las fibras o materias textiles son el elemento básico más característico de cualquier obra textil. Para su utilización, deben ser sometidas a un proceso de hilatura. Se dividen en fibras naturales, fibras artificiales y fibras sintéticas.","Benito, Pilar. Paraísos de seda. Tejidos y bordados de las casas del Príncipe en los Reales Sitios de El Pardo y El Escorial. València: Universitat de València, 2015; Castany Saládrigas, Francisco. Análisis de tejidos. Reconocimiento y análisis de fibras textiles, hilos y tejidos. Barcelona: Gustavo Gil S.A., 1944; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; CIETA. vocabulario Técnico Tejidos Español, francés, inglés, italiano. Lyon: Centre  International d’Etude des Textiles Anciens, 1963; «Real Academia Española». Accedido 20 de noviembre de 2018. http://www.rae.es/; Cervera i Caminal, Anna, Mumbrú i Laporta,Josep, Pont i Puntigam, M. Rosa,  Taló i Rovira, Joan. Diccionari de la indústria tèxtil. Català, Castellà, Francés, Anglés i Alemany. Barcelona: Universitat Politècnica de Catalunya: Servei de llengües i terminologia de la UPC, s. f.",," 488, 529, 267",http://vocab.getty.edu/aat/300264091,http://vocab.getty.edu/aat/300014023,,,,,,,,,,,,,,"209--Fibra --Cualquier material compuesto de filamentos susceptible de ser hilado para elaborar obras de carácter textil por medio de operaciones de tejeduría o fieltro. Las fibras o materias textiles son el elemento básico más característico de cualquier obra textil. Para su utilización, deben ser sometidas a un proceso de hilatura. Se dividen en fibras naturales, fibras artificiales y fibras sintéticas"
210,Fibra animal,"La que se obtiene de diversos tipos de animales y por lo tanto de alto contenido en proteínas. Son muchos y muy dispares los animales de los que se ha servido el ser humano para la obtención de fibras y con ellas la elaboración de hilos para la creación de textiles. La hilatura del pelo o las crines de muy diferentes especies como ovejas, cabras, caballos, camélidos, conejos, etc. da como resultado hilos con los que producir tejidos resistentes, cálidos y con un carácter altamenete aislante. Sin embargo la fibra textil de origen animal de mayor importancia a lo largo de toda la historia de la humanidad, es la seda que siempre se ha considerado como la fibra de mejor calidad y más lujosa.",,"La que se obtiene de diversos tipos de animales y por lo tanto de alto contenido en proteínas. Son muchos y muy dispares los animales de los que se ha servido el ser humano para la obtención de fibras y con ellas la elaboración de hilos para la creación de textiles. La hilatura del pelo o las crines de muy diferentes especies como ovejas, cabras, caballos, camélidos, conejos, etc., da como resultado hilos con los que producir tejidos resistentes, cálidos y con un carácter altamenete aislante. Sin embargo la fibra textil de origen animal de mayor importancia a lo largo de toda la historia de la humanidad, es la seda que siempre se ha considerado como la fibra de mejor calidad y más lujosa.","Cervera i Caminal, Anna, Mumbrú i Laporta,Josep, Pont i Puntigam, M. Rosa,  Taló i Rovira, Joan. Diccionari de la indústria tèxtil. Català, Castellà, Francés, Anglés i Alemany. Barcelona: Universitat Politècnica de Catalunya: Servei de llengües i terminologia de la UPC, s. f.; Benito, Pilar. Paraísos de seda. Tejidos y bordados de las casas del Príncipe en los Reales Sitios de El Pardo y El Escorial. València: Universitat de València, 2015.",, 267,"http://vocab.getty.edu/aat/300264091, http://data.silknow.org/vocabulary/facet/animal_fibres",213,,,,,,,,,,,,,,"210--Fibra animal--La que se obtiene de diversos tipos de animales y por lo tanto de alto contenido en proteínas. Son muchos y muy dispares los animales de los que se ha servido el ser humano para la obtención de fibras y con ellas la elaboración de hilos para la creación de textiles. La hilatura del pelo o las crines de muy diferentes especies como ovejas, cabras, caballos, camélidos, conejos, etc. da como resultado hilos con los que producir tejidos resistentes, cálidos y con un carácter altamenete aislante. Sin embargo la fibra textil de origen animal de mayor importancia a lo largo de toda la historia de la humanidad, es la seda que siempre se ha considerado como la fibra de mejor calidad y más lujosa."
213,Fibra natural,"Toda aquella que, presente en la naturaleza, para su utilización únicamente debe ser sometidas a procesos más o menos complejos de hilado. Dependiendo de su origen y composición, las fibras naturales pueden ser: animales o proteicas; vegetales o celulósicas y minerales.",,"Toda aquella que, presente en la naturaleza, para su utilización únicamente debe ser sometidas a procesos más o menos complejos de hilado. Dependiendo de su origen y composición, las fibras naturales pueden ser: animales o proteicas; vegetales o celulósicas y minerales.","Cervera i Caminal, Anna, Mumbrú i Laporta,Josep, Pont i Puntigam, M. 
Rosa,  Taló i Rovira, Joan. Diccionari de la indústria tèxtil. Català, 
Castellà, Francés, Anglés i Alemany. Barcelona: Universitat Politècnica 
de Catalunya: Servei de llengües i terminologia de la UPC, s. f.; Benito, Pilar. Paraísos de seda. Tejidos y bordados de las casas del Príncipe en los Reales Sitios de El Pardo y El Escorial. València: Universitat de València, 2015; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949.",,"617,488, 632, 267",http://vocab.getty.edu/aat/300264091,209,,http://vocab.getty.edu/aat/300014027,,,,,,,,,,,,"213--Fibra natural--Toda aquella que, presente en la naturaleza, para su utilización únicamente debe ser sometidas a procesos más o menos complejos de hilado. Dependiendo de su origen y composición, las fibras naturales pueden ser: animales o proteicas; vegetales o celulósicas y minerales."
